eol_page_id,taxonomy_id,eol_content_id,image_url,source_url,image_license,copyright_owner,image_source
47191960,,4,https://content.eol.org/data/media/00/00/04/8.10036174384.jpg,https://www.flickr.com/photos/biodivlibrary/10036174384/,cc-by,Biodiversity Heritage Library,EOL
45513703,,5,https://content.eol.org/data/media/00/00/05/8.10036178774.jpg,https://www.flickr.com/photos/biodivlibrary/10036178774/,cc-by,Biodiversity Heritage Library,EOL
45511004,,6,https://content.eol.org/data/media/00/00/06/8.10036189994.jpg,https://www.flickr.com/photos/biodivlibrary/10036189994/,cc-by,Biodiversity Heritage Library,EOL
45513716,,7,https://content.eol.org/data/media/00/00/07/8.10036199024.jpg,https://www.flickr.com/photos/biodivlibrary/10036199024/,cc-by,Biodiversity Heritage Library,EOL
47189208,,8,https://content.eol.org/data/media/00/00/08/8.10036205384.jpg,https://www.flickr.com/photos/biodivlibrary/10036205384/,cc-by,Biodiversity Heritage Library,EOL
47187239,,9,https://content.eol.org/data/media/00/00/09/8.10036207544.jpg,https://www.flickr.com/photos/biodivlibrary/10036207544/,cc-by,Biodiversity Heritage Library,EOL
47188497,,10,https://content.eol.org/data/media/00/00/0a/8.10036213434.jpg,https://www.flickr.com/photos/biodivlibrary/10036213434/,cc-by,Biodiversity Heritage Library,EOL
47188209,,11,https://content.eol.org/data/media/00/00/0b/8.10036215464.jpg,https://www.flickr.com/photos/biodivlibrary/10036215464/,cc-by,Biodiversity Heritage Library,EOL
47190938,,12,https://content.eol.org/data/media/00/00/0c/8.10036216185.jpg,https://www.flickr.com/photos/biodivlibrary/10036216185/,cc-by,Biodiversity Heritage Library,EOL
45513681,,13,https://content.eol.org/data/media/00/00/0d/8.10036231624.jpg,https://www.flickr.com/photos/biodivlibrary/10036231624/,cc-by,Biodiversity Heritage Library,EOL
45515471,,14,https://content.eol.org/data/media/00/00/0e/8.10036234434.jpg,https://www.flickr.com/photos/biodivlibrary/10036234434/,cc-by,Biodiversity Heritage Library,EOL
45510994,,15,https://content.eol.org/data/media/00/00/0f/8.10036241936.jpg,https://www.flickr.com/photos/biodivlibrary/10036241936/,cc-by,Biodiversity Heritage Library,EOL
45515465,,16,https://content.eol.org/data/media/00/00/10/8.10036242014.jpg,https://www.flickr.com/photos/biodivlibrary/10036242014/,cc-by,Biodiversity Heritage Library,EOL
45515464,,17,https://content.eol.org/data/media/00/00/11/8.10036249584.jpg,https://www.flickr.com/photos/biodivlibrary/10036249584/,cc-by,Biodiversity Heritage Library,EOL
47188728,,18,https://content.eol.org/data/media/00/00/12/8.10036250455.jpg,https://www.flickr.com/photos/biodivlibrary/10036250455/,cc-by,Biodiversity Heritage Library,EOL
47187418,,19,https://content.eol.org/data/media/00/00/13/8.10036261195.jpg,https://www.flickr.com/photos/biodivlibrary/10036261195/,cc-by,Biodiversity Heritage Library,EOL
47187030,,20,https://content.eol.org/data/media/00/00/14/8.10036265585.jpg,https://www.flickr.com/photos/biodivlibrary/10036265585/,cc-by,Biodiversity Heritage Library,EOL
47186585,,21,https://content.eol.org/data/media/00/00/15/8.10036273734.jpg,https://www.flickr.com/photos/biodivlibrary/10036273734/,cc-by,Biodiversity Heritage Library,EOL
45515425,,22,https://content.eol.org/data/media/00/00/16/8.10036279996.jpg,https://www.flickr.com/photos/biodivlibrary/10036279996/,cc-by,Biodiversity Heritage Library,EOL
45515462,,23,https://content.eol.org/data/media/00/00/17/8.10036283865.jpg,https://www.flickr.com/photos/biodivlibrary/10036283865/,cc-by,Biodiversity Heritage Library,EOL
